token,canonical_id,pub_batch,x,y,cell_id,ts,id,created_date,updated_date,created_by_id,created_by,is_sample
30545a77-664a-44d4-9d54-a7c1993a32b9,6907912510acab4c189c26cd,1/10/2026,6,7,42,2026-01-10T12:06:56.368Z,696240e14aaf8f41d1bd1c7f,2026-01-10T12:06:57.028000,2026-01-10T12:06:57.028000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69079125de5cf20cb23dbb42,1/10/2026,7,6,48,2026-01-10T12:04:59.471Z,6962406caf0494082edd40f9,2026-01-10T12:05:00.091000,2026-01-10T12:05:00.091000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,690791231130232c6f24a8b1,1/10/2026,5,6,34,2026-01-10T12:04:47.236Z,6962405fe719d846137acf20,2026-01-10T12:04:47.866000,2026-01-10T12:04:47.866000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69593dc0eac6a120dc6e88a1,1/10/2026,7,6,48,2026-01-10T12:04:09.752Z,6962403a5ff984d11a8c0ea2,2026-01-10T12:04:10.383000,2026-01-10T12:04:10.383000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69079122e0cd0242cebd60cf,1/10/2026,4,5,26,2026-01-10T12:04:01.177Z,69624031b3135e868a480a18,2026-01-10T12:04:01.806000,2026-01-10T12:04:01.806000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69593db9785c2ed83c8cbea7,1/10/2026,7,5,47,2026-01-10T12:03:27.818Z,69624010be5ea7057bdae4e5,2026-01-10T12:03:28.444000,2026-01-10T12:03:28.444000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,690791237f24aa1ecd5429a9,1/10/2026,6,6,41,2026-01-10T12:03:07.309Z,69623ffbd190e99338263957,2026-01-10T12:03:07.953000,2026-01-10T12:03:07.953000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69593db392815610917874fb,1/10/2026,7,7,49,2026-01-10T12:02:39.659Z,69623fe00db67df93df8977b,2026-01-10T12:02:40.295000,2026-01-10T12:02:40.295000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69593daf0a570c24336526d8,1/10/2026,5,5,33,2026-01-10T12:02:20.864Z,69623fcd7f65b427b5b0dc30,2026-01-10T12:02:21.497000,2026-01-10T12:02:21.497000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69079123065e0438f4af92d0,1/10/2026,6,7,42,2026-01-10T12:01:41.629Z,69623fa67926087b92285515,2026-01-10T12:01:42.269000,2026-01-10T12:01:42.269000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69623dd4e66dc12580f9c683,1/10/2026,3,6,20,2026-01-10T12:00:26.621Z,69623f5b1c046322d6f784d5,2026-01-10T12:00:27.252000,2026-01-10T12:00:27.252000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69623e109a7f36eb1d1a48ed,1/10/2026,5,7,35,2026-01-10T12:00:02.551Z,69623f430cb2cca8e295389c,2026-01-10T12:00:03.224000,2026-01-10T12:00:03.224000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69623e5ae0640bffa8f7cf43,1/10/2026,7,7,49,2026-01-10T11:59:22.280Z,69623f1aaf67077f11be2494,2026-01-10T11:59:22.904000,2026-01-10T11:59:22.904000,anonymous,anonymous,FALSE
30545a77-664a-44d4-9d54-a7c1993a32b9,69623ec668afe0c8507ae99c,1/10/2026,4,6,27,2026-01-10T11:59:11.187Z,69623f10efd2f54de912cd92,2026-01-10T11:59:12.060000,2026-01-10T11:59:12.060000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593dddb7e03945a9abeb07,1/9/2026,5,3,31,2026-01-09T19:40:12.565Z,6961599cfe3b242b9b2d4514,2026-01-09T19:40:12.386000,2026-01-09T19:40:12.386000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593dddef4549e17f3ee3a2,1/9/2026,5,7,35,2026-01-09T19:40:07.577Z,69615997ae64eb55fe277dae,2026-01-09T19:40:07.376000,2026-01-09T19:40:07.376000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593ddde0762f0fda4a8b45,1/9/2026,3,7,21,2026-01-09T19:40:01.427Z,696159913d61cd562b7d9608,2026-01-09T19:40:01.325000,2026-01-09T19:40:01.325000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593ddcadb5f834c1df5aac,1/9/2026,2,3,10,2026-01-09T19:39:55.344Z,6961598189b04011608362d7,2026-01-09T19:39:45.913000,2026-01-09T19:39:55.547000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593ddc97c883f04d4a839d,1/9/2026,4,4,25,2026-01-09T19:39:49.826Z,6961597b46b46c6f828080d4,2026-01-09T19:39:39.631000,2026-01-09T19:39:49.883000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593ddc5731441183ecdee5,1/9/2026,2,3,10,2026-01-09T19:39:37.156Z,69615970ae697a37240896d9,2026-01-09T19:39:28.010000,2026-01-09T19:39:39.739000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69593ddbdf5f0ff1ac2e78f2,1/9/2026,6,3,38,2026-01-09T19:39:23.395Z,696159649015e27622ad0510,2026-01-09T19:39:16.264000,2026-01-09T19:39:23.486000,anonymous,anonymous,FALSE
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,69079124900fedf3fc27cf51,1/9/2026,6,7,42,2026-01-09T19:38:54.097Z,6961594d6d9749cd5b80984f,2026-01-09T19:38:53.910000,2026-01-09T19:38:53.910000,anonymous,anonymous,FALSE
