raw_id,raw_text,raw_n_placements,raw_n_participants,raw_mean_x,raw_mean_y,raw_sd_x,raw_sd_y,raw_quadrant,seed_id,seed_text,seed_mean_x,seed_mean_y,seed_sd_x,seed_sd_y,seed_quadrant,distance,delta_x,delta_y,alignment
69613b40078b23352ef473eb,"Communicate to employees that digital transformation brings about positive, far reaching changes, from work progresses to daily problem-solving.",1,1,6.0,4.0,0.0,0.0,Easy / High impact,69593dc0eac6a120dc6e88a1,Use a single channel for official goal updates,5.8,3.733,0.775,1.831,Easy / Low impact,0.333,0.2,0.267,mixed
695c03cb6ff1bc0ae7776f0b,"Creat fit/gap tables, regularly update processing status to department members",1,1,6.0,4.0,0.0,0.0,Easy / High impact,69593dc0eac6a120dc6e88a1,Use a single channel for official goal updates,5.8,3.733,0.775,1.831,Easy / Low impact,0.333,0.2,0.267,mixed
695bdab29c08a22c055703fa,Establish a commitment to achieving the common goals of all departments.,1,1,6.0,4.0,0.0,0.0,Easy / High impact,69593dc0eac6a120dc6e88a1,Use a single channel for official goal updates,5.8,3.733,0.775,1.831,Easy / Low impact,0.333,0.2,0.267,mixed
69623ec668afe0c8507ae99c,"Ensure that when the technology is ready, people also have the necessary skills to operate it.",1,1,4.0,6.0,0.0,0.0,Easy / High impact,69593daf0a570c24336526d8,Translate DT goals into 2–3 team KPIs,4.133,6.4,0.516,0.828,Easy / High impact,0.422,-0.133,-0.4,reinforces
695be2deb254a16120c3de01,To combines improvement ideas from department members based on practical experience to achieve department goals.,1,1,4.0,6.0,0.0,0.0,Easy / High impact,69593daf0a570c24336526d8,Translate DT goals into 2–3 team KPIs,4.133,6.4,0.516,0.828,Easy / High impact,0.422,-0.133,-0.4,reinforces
695bdad5646924b3fb0f579d,"Assigning the right personnel to participate in the digital transformation project: considering their capabilities, responsibilities, passion,  time availability.",1,1,4.0,6.0,0.0,0.0,Easy / High impact,69593daf0a570c24336526d8,Translate DT goals into 2–3 team KPIs,4.133,6.4,0.516,0.828,Easy / High impact,0.422,-0.133,-0.4,reinforces
695cd203abb3cc6a95472da1,"Activate a mechanism to check compliance with procedures,  processes, the accuracy of data.",1,1,4.0,5.0,0.0,0.0,Easy / High impact,69593ddc97c883f04d4a839d,Post a visual of handoffs removed,4.0,4.571,0.877,1.089,Easy / High impact,0.429,0.0,0.429,reinforces
695ca1380d03a9f4ab4f3667,Two KPIs will be established after implementing the technology; which one will be used for evaluation?,1,1,4.0,5.0,0.0,0.0,Easy / High impact,69593ddc97c883f04d4a839d,Post a visual of handoffs removed,4.0,4.571,0.877,1.089,Easy / High impact,0.429,0.0,0.429,reinforces
695bfef8ec9a2540846c0bee,"Create the best possible environment for digitalization implementation: training, documentation, procedures, regulations, etc.",1,1,4.0,5.0,0.0,0.0,Easy / High impact,69593ddc97c883f04d4a839d,Post a visual of handoffs removed,4.0,4.571,0.877,1.089,Easy / High impact,0.429,0.0,0.429,reinforces
695ccd266b5a4765975010c1,Clarify how it helps employees in their work.,1,1,3.0,4.0,0.0,0.0,Hard / High impact,69593ddcadb5f834c1df5aac,Protect 2 hours/week for learning tied to the goal,3.143,3.5,1.748,1.951,Hard / Low impact,0.52,-0.143,0.5,mixed
