token,cluster_id,n_statements,mean_x,mean_y
0faae8e3-9d8d-456d-927c-72e3e608a22a,1,4,5.25,5.0
a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8,2,23,4.6521739130434785,4.608695652173913
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,2,24,4.833333333333333,4.666666666666667
ab659953-8333-4356-ac9b-53729fb97748,2,24,4.458333333333333,4.583333333333333
7372d8df-8801-4122-acd5-a879fc9db86b,2,23,4.695652173913044,4.434782608695652
dfbc11e3-d5d5-4bcc-b914-d89ffa62854f,2,23,4.826086956521739,4.695652173913044
eb0fc86c-c0b4-447e-a72b-785aa6e61518,2,25,4.76,4.68
b828caf0-4cef-4a31-9cf0-102b91841982,2,24,4.666666666666667,4.708333333333333
35569596-4e4f-4ef8-ba25-8e0b36d7c77c,2,24,4.541666666666667,4.333333333333333
fed6c52e-3491-40cf-91df-5c9a734a0926,2,23,4.782608695652174,4.391304347826087
c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b,2,23,4.565217391304348,4.478260869565218
1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc,3,24,4.541666666666667,5.25
30545a77-664a-44d4-9d54-a7c1993a32b9,3,14,5.642857142857143,6.142857142857143
ad1b9e2e-51bb-4e90-a9ad-816022f82dc4,3,23,4.608695652173913,5.739130434782608
403fcc5a-e686-45f2-bcab-23af322043b8,3,23,4.304347826086956,4.739130434782608
cdecce63-879c-40b2-b10f-9c7fa53bd875,3,25,3.68,5.8
